[0.999283492565155, -0.037847910076379776, 0.999565839767456, -0.029463594779372215, -0.05567837134003639, 0.03901343420147896];[0.9995142817497253, -0.03116334229707718, 0.9983747601509094, -0.05699007958173752, 0.12008244544267654, -0.30826666951179504];0
[0.9995142817497253, -0.03116334229707718, 0.9983747601509094, -0.05699007958173752, 0.12008244544267654, -0.30826666951179504];[0.9999831318855286, -0.005808137357234955, 0.9936520457267761, -0.11249717324972153, 0.1267026960849762, -0.23549610376358032];1
[0.9999831318855286, -0.005808137357234955, 0.9936520457267761, -0.11249717324972153, 0.1267026960849762, -0.23549610376358032];[0.9998582601547241, 0.016835838556289673, 0.9893103241920471, -0.14582546055316925, 0.0942281112074852, -0.09159745275974274];1
[0.9998582601547241, 0.016835838556289673, 0.9893103241920471, -0.14582546055316925, 0.0942281112074852, -0.09159745275974274];[0.9990635514259338, 0.04326751083135605, 0.9836609959602356, -0.18003053963184357, 0.1636635661125183, -0.24482621252536774];0
[0.9990635514259338, 0.04326751083135605, 0.9836609959602356, -0.18003053963184357, 0.1636635661125183, -0.24482621252536774];[0.9986122846603394, 0.05266382917761803, 0.9854569435119629, -0.16992516815662384, -0.07095848768949509, 0.34664446115493774];2
[0.9986122846603394, 0.05266382917761803, 0.9854569435119629, -0.16992516815662384, -0.07095848768949509, 0.34664446115493774];[0.9990677237510681, 0.043170809745788574, 0.9932732582092285, -0.11579377949237823, -0.020470030605793, 0.18953897058963776];0
[0.9990677237510681, 0.043170809745788574, 0.9932732582092285, -0.11579377949237823, -0.020470030605793, 0.18953897058963776];[0.9994841814041138, 0.03211478888988495, 0.9979725480079651, -0.0636458471417427, -0.08625005930662155, 0.3233117461204529];1
[0.9994841814041138, 0.03211478888988495, 0.9979725480079651, -0.0636458471417427, -0.08625005930662155, 0.3233117461204529];[0.9999972581863403, -0.0023460392840206623, 0.9991193413734436, 0.04195832088589668, -0.24783238768577576, 0.7091856002807617];2
[0.9999972581863403, -0.0023460392840206623, 0.9991193413734436, 0.04195832088589668, -0.24783238768577576, 0.7091856002807617];[0.9981398582458496, -0.060966040939092636, 0.9787111878395081, 0.205242320895195, -0.32112544775009155, 0.8996909856796265];2
[0.9981398582458496, -0.060966040939092636, 0.9787111878395081, 0.205242320895195, -0.32112544775009155, 0.8996909856796265];[0.9924395680427551, -0.12273415178060532, 0.9267998337745667, 0.37555572390556335, -0.28137513995170593, 0.8438547849655151];2
