[0.032846953719854355, -0.04986298456788063, -0.038031697273254395, -0.03923577070236206];[0.0318496935069561, 0.14578312635421753, -0.038816411048173904, -0.3436713218688965];1
[0.0318496935069561, 0.14578312635421753, -0.038816411048173904, -0.3436713218688965];[0.03476535528898239, -0.04876574128866196, -0.04568983614444733, -0.06347702443599701];0
[0.03476535528898239, -0.04876574128866196, -0.04568983614444733, -0.06347702443599701];[0.033790040761232376, 0.14698049426078796, -0.04695937782526016, -0.37021809816360474];1
[0.033790040761232376, 0.14698049426078796, -0.04695937782526016, -0.37021809816360474];[0.03672965243458748, -0.04744390398263931, -0.054363738745450974, -0.09270397573709488];0
[0.03672965243458748, -0.04744390398263931, -0.054363738745450974, -0.09270397573709488];[0.03578077256679535, 0.14841340482234955, -0.05621781945228577, -0.40203097462654114];1
[0.03578077256679535, 0.14841340482234955, -0.05621781945228577, -0.40203097462654114];[0.03874904289841652, -0.045867983251810074, -0.06425844132900238, -0.12758862972259521];0
[0.03874904289841652, -0.045867983251810074, -0.06425844132900238, -0.12758862972259521];[0.037831682711839676, 0.1501128375530243, -0.06681021302938461, -0.4398321211338043];1
[0.037831682711839676, 0.1501128375530243, -0.06681021302938461, -0.4398321211338043];[0.040833938866853714, -0.04400309547781944, -0.07560685276985168, -0.16893541812896729];0
[0.040833938866853714, -0.04400309547781944, -0.07560685276985168, -0.16893541812896729];[0.03995387628674507, 0.15211506187915802, -0.07898556441068649, -0.48447948694229126];1
[0.03995387628674507, 0.15211506187915802, -0.07898556441068649, -0.48447948694229126];[0.042996179312467575, 0.3482576608657837, -0.08867515623569489, -0.8009737133979797];1
[0.042996179312467575, 0.3482576608657837, -0.08867515623569489, -0.8009737133979797];[0.049961332231760025, 0.15445657074451447, -0.10469462722539902, -0.5374506115913391];0
[0.049961332231760025, 0.15445657074451447, -0.10469462722539902, -0.5374506115913391];[0.053050462156534195, -0.039049677550792694, -0.1154436394572258, -0.27950456738471985];0
[0.053050462156534195, -0.039049677550792694, -0.1154436394572258, -0.27950456738471985];[0.05226946994662285, 0.15751361846923828, -0.12103372812271118, -0.6062520742416382];1
[0.05226946994662285, 0.15751361846923828, -0.12103372812271118, -0.6062520742416382];[0.055419743061065674, -0.035726603120565414, -0.13315877318382263, -0.35400933027267456];0
[0.055419743061065674, -0.035726603120565414, -0.13315877318382263, -0.35400933027267456];[0.05470521003007889, 0.16101256012916565, -0.140238955616951, -0.6855387091636658];1
[0.05470521003007889, 0.16101256012916565, -0.140238955616951, -0.6855387091636658];[0.05792546272277832, 0.35777410864830017, -0.15394973754882812, -1.018878698348999];1
[0.05792546272277832, 0.35777410864830017, -0.15394973754882812, -1.018878698348999];[0.06508094072341919, 0.16500166058540344, -0.1743273138999939, -0.7782225608825684];0
[0.06508094072341919, 0.16500166058540344, -0.1743273138999939, -0.7782225608825684];[0.06838097423315048, -0.027349604293704033, -0.1898917555809021, -0.5450617671012878];0
[0.06838097423315048, -0.027349604293704033, -0.1898917555809021, -0.5450617671012878];[0.06783398240804672, -0.2193673700094223, -0.20079299807548523, -0.31770578026771545];0
[0.06783398240804672, -0.2193673700094223, -0.20079299807548523, -0.31770578026771545];[0.06344663351774216, -0.4111478626728058, -0.20714710652828217, -0.09445194900035858];0
[0.06344663351774216, -0.4111478626728058, -0.20714710652828217, -0.09445194900035858];[0.05522368103265762, -0.2137521356344223, -0.20903614163398743, -0.44468221068382263];1
[0.05522368103265762, -0.2137521356344223, -0.20903614163398743, -0.44468221068382263];[0.05094863846898079, -0.4053989350795746, -0.21792979538440704, -0.22447986900806427];0
[-0.0017050523310899734, -0.03721454739570618, 0.0423835888504982, -0.005252549424767494];[-0.0024493432138115168, 0.1572747379541397, 0.042278535664081573, -0.28426745533943176];1
[-0.0024493432138115168, 0.1572747379541397, 0.042278535664081573, -0.28426745533943176];[0.0006961514591239393, -0.03842391446232796, 0.03659318760037422, 0.021444402635097504];0
[0.0006961514591239393, -0.03842391446232796, 0.03659318760037422, 0.021444402635097504];[-7.232679490698501e-05, -0.23405101895332336, 0.037022076547145844, 0.32544460892677307];0
[-7.232679490698501e-05, -0.23405101895332336, 0.037022076547145844, 0.32544460892677307];[-0.004753347020596266, -0.4296799898147583, 0.043530967086553574, 0.6295689940452576];0
[-0.004753347020596266, -0.4296799898147583, 0.043530967086553574, 0.6295689940452576];[-0.01334694679826498, -0.2351916879415512, 0.056122347712516785, 0.35090696811676025];1
[-0.01334694679826498, -0.2351916879415512, 0.056122347712516785, 0.35090696811676025];[-0.0180507805198431, -0.43106499314308167, 0.06314048916101456, 0.6607456207275391];0
[-0.0180507805198431, -0.43106499314308167, 0.06314048916101456, 0.6607456207275391];[-0.026672080159187317, -0.6270061135292053, 0.07635539770126343, 0.9726226329803467];0
